id;issue_id;issue_uuid;username;issue_assignment_displayed_username;issue_role;displayed_issue_role;created;modified;accepted;deleted
1;45661;cd420e70-f82c-486a-8887-a7b1f952d967;robust JSON leverage;Investment;Fresh;Incredible Tools 24/7;2023-01-26T09:29:18;2023-01-27T04:02:12;2023-01-27T00:10:10;2023-01-26T12:22:24
2;68657;c16498c6-bd22-4968-ad06-a636d7b44368;SAS generate compressing;PCI Chicken;AI Berkshire;Loan Wooden;2023-01-26T19:57:59;2023-01-26T08:30:53;2023-01-26T08:53:34;2023-01-26T15:56:45
3;75067;c90e7bed-4ebd-4e48-9226-4ba620e7ded6;incentivize cyan;Gloves Planner Plastic;Kenyan;Leone;2023-01-26T15:19:47;2023-01-26T11:01:55;2023-01-26T05:41:33;2023-01-26T06:54:14
4;15836;d9029026-fa7a-4aad-874d-5a6b238f2942;Spur monitor invoice;bypassing;Sleek Intranet Fresh;Steel;2023-01-26T16:09:23;2023-01-26T07:47:05;2023-01-26T16:26:19;2023-01-27T00:22:13
5;67608;f7d97717-1cc6-4881-b467-6cd726e1fe01;users Developer Morocco;Cotton directional;compelling transmitter Reverse-engineered;optimizing;2023-01-26T09:17:22;2023-01-26T06:12:25;2023-01-26T21:27:07;2023-01-26T13:16:14
6;78098;e1863395-bef9-4b0f-8db1-07a2487d91f7;innovate;Shoes supply-chains quantifying;Human transparent;mint Peso Lead;2023-01-26T12:59:22;2023-01-26T07:41:46;2023-01-27T04:10:38;2023-01-26T17:29:26
7;38092;44030e08-ecc5-428a-b078-fa76f4813f30;International;Alabama deliver Account;Kenyan Planner;override International;2023-01-26T19:45:34;2023-01-26T19:27:04;2023-01-26T17:03:13;2023-01-26T09:47:04
8;72165;e6a8db9b-80e6-4f5f-a50f-321d2952e948;discrete clicks-and-mortar;Frozen Manager Uganda;Chicken Germany;Steel wireless;2023-01-26T06:07:57;2023-01-27T00:25:36;2023-01-26T11:45:16;2023-01-27T04:32:30
9;89502;67c4cfe5-61af-4f16-8bc3-6c942f1c3f67;Persistent Rhode Frozen;Markets capacitor yellow;transmit Prairie Account;Regional deposit;2023-01-27T01:09:48;2023-01-26T06:46:47;2023-01-26T21:53:07;2023-01-26T22:47:04
10;57760;edf3df01-769c-4f31-ba3a-9be7663bb0df;Islands online asynchronous;bifurcated real-time input;Arkansas bi-directional Account;District;2023-01-26T12:11:03;2023-01-26T17:36:02;2023-01-26T10:17:14;2023-01-26T20:26:29
